Datum,Verbruik KwH,Prijs
2022-09-01 00:00:00,13.5,0.4264
2022-09-01 01:00:00,12.75,0.44595999999999997
2022-09-01 02:00:00,12.5,0.44776
2022-09-01 03:00:00,11.25,0.45198
2022-09-01 04:00:00,11.5,0.49513
2022-09-01 05:00:00,12.0,0.5327999999999999
2022-09-01 06:00:00,18.5,0.6136900000000001
2022-09-01 07:00:00,20.5,0.65339
2022-09-01 08:00:00,25.75,0.62687
2022-09-01 09:00:00,30.5,0.58358
2022-09-01 10:00:00,31.25,0.5199
2022-09-01 11:00:00,34.25,0.4788
2022-09-01 12:00:00,37.5,0.44168
2022-09-01 13:00:00,34.25,0.46398
2022-09-01 14:00:00,39.5,0.4614
2022-09-01 15:00:00,36.25,0.4695
2022-09-01 16:00:00,33.75,0.51413
2022-09-01 17:00:00,30.0,0.6012000000000001
2022-09-01 18:00:00,28.5,0.635
2022-09-01 19:00:00,19.75,0.68098
2022-09-01 20:00:00,17.75,0.65
2022-09-01 21:00:00,16.5,0.6131
2022-09-01 22:00:00,15.25,0.55
2022-09-01 23:00:00,14.75,0.475
2022-09-02 00:00:00,13.5,0.45605
2022-09-02 01:00:00,13.25,0.41874
2022-09-02 02:00:00,12.75,0.39535000000000003
2022-09-02 03:00:00,12.0,0.36268
2022-09-02 04:00:00,12.0,0.39173
2022-09-02 05:00:00,11.25,0.44542000000000004
2022-09-02 06:00:00,19.0,0.53208
2022-09-02 07:00:00,22.75,0.5661
2022-09-02 08:00:00,26.0,0.5814
2022-09-02 09:00:00,28.25,0.5205299999999999
2022-09-02 10:00:00,31.25,0.49698000000000003
2022-09-02 11:00:00,31.5,0.41638
2022-09-02 12:00:00,34.0,0.2813
2022-09-02 13:00:00,35.0,0.26217
2022-09-02 14:00:00,37.75,0.26397000000000004
2022-09-02 15:00:00,39.5,0.31068
2022-09-02 16:00:00,36.25,0.36683
2022-09-02 17:00:00,35.25,0.4848
2022-09-02 18:00:00,31.0,0.55423
2022-09-02 19:00:00,19.25,0.59396
2022-09-02 20:00:00,17.75,0.5501
2022-09-02 21:00:00,16.5,0.402
2022-09-02 22:00:00,16.0,0.291
2022-09-02 23:00:00,15.25,0.26227999999999996
2022-09-03 00:00:00,14.0,0.2646
2022-09-03 01:00:00,13.75,0.22069999999999998
2022-09-03 02:00:00,13.0,0.256
2022-09-03 03:00:00,13.25,0.24997
2022-09-03 04:00:00,13.0,0.23201
2022-09-03 05:00:00,12.75,0.29167000000000004
2022-09-03 06:00:00,11.75,0.275
2022-09-03 07:00:00,11.75,0.37007999999999996
2022-09-03 08:00:00,12.5,0.3985
2022-09-03 09:00:00,14.5,0.38056
2022-09-03 10:00:00,16.25,0.20673
2022-09-03 11:00:00,16.75,0.1466
2022-09-03 12:00:00,18.0,0.04686
2022-09-03 13:00:00,19.75,0.02278
2022-09-03 14:00:00,21.0,0.10578
2022-09-03 15:00:00,21.5,0.18084999999999998
2022-09-03 16:00:00,21.25,0.24043
2022-09-03 17:00:00,21.0,0.39832
2022-09-03 18:00:00,20.0,0.45363
2022-09-03 19:00:00,19.0,0.53
2022-09-03 20:00:00,17.0,0.49998000000000004
2022-09-03 21:00:00,16.5,0.4
2022-09-03 22:00:00,16.0,0.38171
2022-09-03 23:00:00,15.75,0.31972
2022-09-04 00:00:00,15.25,0.30893
2022-09-04 01:00:00,14.0,0.24296
2022-09-04 02:00:00,13.5,0.19496
2022-09-04 03:00:00,13.25,0.20271
2022-09-04 04:00:00,13.25,0.219
2022-09-04 05:00:00,13.25,0.1935
2022-09-04 06:00:00,13.25,0.21106999999999998
2022-09-04 07:00:00,13.0,0.22638999999999998
2022-09-04 08:00:00,13.75,0.20995
2022-09-04 09:00:00,15.25,0.2161
2022-09-04 10:00:00,17.75,0.12420999999999999
